Ingredient,Combination,Dry,Normal,Oily,Sensitive
Hydroxyethyl Urea,20,18,20,20,13
Camellia Sinensis (Green Tea) Leaf Extract,20,15,19,19,15
Silybum Marianum (Lady'S Thistle) Extract,3,3,3,3,1
Betula Alba (Birch) Bark Extract,5,5,5,5,5
Saccharomyces Lysate Extract,13,11,11,12,9
Aloe Barbadensis Leaf Water,4,3,3,4,4
Thermus Thermophillus Ferment,4,4,4,4,2
Palmitoyl Hexapeptide-12,16,16,15,15,13
Oleth-10,8,5,6,8,4
Sodium Polyaspartate,5,4,5,5,3
Saccharide Isomerate,36,36,37,35,30
Glyceryl Polymethacrylate,20,20,19,18,14
Peg-8,28,27,27,26,19
Magnesium Ascorbyl Phosphate,19,17,19,18,12
Red 4 (Ci 14700),11,9,9,11,6
Yellow 5 (Ci 19140),20,18,16,18,12
EthylhexylIsononanoate,0,0,0,0,0
Caprylyl Methicone,12,11,12,13,11
Isostearyl Isostearate,2,2,2,2,1
BehenylAlcohol,0,0,0,0,0
Nylon-6/12,1,1,1,1,1
PrunusDomestica Seed Oil,0,0,0,0,0
Rosa Damascena Flower Water,10,10,10,10,10
Algin,26,25,26,24,24
Angelica Keiskei Extract,0,0,0,0,0
Acacia Senegal Gum,6,6,6,6,5
Cucumis Sativus(Cucumber) Fruit Extract,1,1,1,1,1
Rosa Damascena Flower Oil,15,14,15,13,11
SodiumHyaluronate,0,0,0,0,0
Ammonium Acryloyldimethy-ltaurate/VP Copolymer,0,0,0,0,0
C13-14Isoparaffin,0,0,0,0,0
Tetrasodium EDTA,21,19,21,21,18
BHT,43,43,43,37,34
Geraniol.,8,8,8,6,4
Galactomyces Ferment Filtrate*,4,6,6,4,6
Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate,0,1,1,0,1
Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer,14,15,16,13,15
Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,15,15,16,14,13
Benzyl Alcohol,55,56,56,52,50
Peg-100 Stearate,50,49,52,47,37
Polysorbate 80,53,53,55,52,41
Sodium Peg-7 Olive Oil Carboxylate,2,3,3,2,3
Ethylparaben,9,10,11,8,7
Sorbitan Oleate,19,20,20,17,17
Peg-7 Glyceryl Cocoate,6,7,8,6,7
Acanthopanax Senticosus (Eleuthero) Root Extract,1,2,2,1,2
Hydrolyzed Soy Protein,13,14,14,13,14
Cynara Scolymus (Artichoke) Leaf Extract,3,4,4,2,4
Polyquaternium-7,7,9,9,7,8
Hydrolyzed Yeast Protein,5,6,6,5,6
Palmitoyl Pentapeptide-4,10,11,11,9,11
Methylsilanol Tri-Peg-8 Glyceryl Cocoate,2,3,3,2,3
Methicone,12,14,14,12,14
Ci 77891,11,11,12,11,11
Ci 77492. *Pitera™.,1,2,2,1,2
Isostearic Acid,21,21,21,20,14
Agar,6,6,6,6,6
Globularia Cordifolia Callus Culture Extract,0,0,0,0,0
Melilotus Officinalis Extract,0,0,0,0,0
Lauroyl Lysine,3,3,3,3,3
Succinoglycan,4,4,4,4,3
Cellulose Gum,19,18,19,16,16
Polyglyceryl-4 Laurate/Succinate,1,1,1,1,1
Sorbitan Sesquiisostearate,2,0,1,2,1
Magnesium Hydroxide,0,0,0,0,0
Magnesium Chloride,8,8,8,8,8
Potassium Chloride,8,8,8,8,8
Calcium Chloride,15,14,15,13,13
